,R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,Format,Referee,date,location,Fight_type,Winner,Red_Fighter_Height,Red_Fighter_Weight,Red_Fighter_Reach,Red_Fighter_Stance,Blue_Fighter_Height,Blue_Fighter_Weight,Blue_Fighter_Reach,Blue_Fighter_Stance,Red_Fighter_Age,Blue_Fighter_Age,Blue_wins,Red_wins,Blue_losses,Red_losses,win_by_,Win_Model,R_fighter_,B_fighter_,Referee_,location_,Fight_type_,Format_,Winner_Code
1005,Marcin Held,Damir Hadzovic,0,1,0.46,0.46,0.6,0.54,1.0,0.0,1,0,11,0,0,0,0.46,0.43,1.0,1.0,0.0,0.0,0.75,1.0,0.75,1.0,KO/TKO,3 Rnd (5-5-5),Bobby Rehman,2017-05-28,"Stockholm, Sweden",Lightweight Bout,Damir Hadzovic,175.26,70.31,180.34,2,175.26,70.31,177.8,2,25,30,0,0,1,2,1,1,805,357,15,140,6,13,248
1006,Stipe Miocic,Junior Dos Santos,1,0,0.46,0.66,0.46,0.67,0.0,0.0,0,0,0,0,0,0,0.46,0.44,0.0,0.75,0.75,1.0,0.75,0.0,0.62,0.0,KO/TKO,5 Rnd (5-5-5-5-5),Herb Dean,2017-05-13,"Dallas, Texas, USA",UFC Heavyweight Title Bout,Stipe Miocic,193.04,108.86,203.2,2,193.04,107.95,195.58,2,34,33,12,10,3,2,1,0,1174,909,63,43,32,15,1132
1007,Joanna Jedrzejczyk,Jessica Andrade,0,0,0.63,0.38,0.64,0.41,0.0,0.2,0,0,0,1,0,0,0.48,0.31,0.78,0.43,0.96,0.85,0.71,0.62,0.0,1.0,Decision - Unanimous,5 Rnd (5-5-5-5-5),Jacob Montalvo,2017-05-13,"Dallas, Texas, USA",UFC Women's Strawweight Title Bout,Joanna Jedrzejczyk,167.64,56.7,165.1,2,154.94,52.16,157.48,2,29,25,7,7,3,0,3,0,577,765,65,43,48,15,556
1008,Demian Maia,Jorge Masvidal,0,0,0.6,0.61,0.72,0.69,0.33,0.0,0,0,3,0,1,0,0.59,0.56,0.0,0.78,1.0,0.83,0.75,1.0,0.79,0.64,Decision - Split,3 Rnd (5-5-5),Kerry Hatley,2017-05-13,"Dallas, Texas, USA",Welterweight Bout,Demian Maia,185.42,77.11,182.88,4,180.34,77.11,187.96,2,39,32,9,18,4,6,5,0,316,866,96,43,106,13,297
1010,Krzysztof Jotko,David Branch,0,0,0.32,0.31,0.45,0.51,0.5,0.28,0,0,0,0,0,0,0.25,0.18,0.69,0.62,0.0,0.91,0.75,0.61,0.0,0.71,Decision - Split,3 Rnd (5-5-5),Don Turnage,2017-05-13,"Dallas, Texas, USA",Middleweight Bout,David Branch,185.42,83.91,195.58,4,185.42,83.91,198.12,2,27,35,2,6,2,1,5,1,730,414,42,43,7,13,287
1012,Chas Skelly,Jason Knight,0,1,0.46,0.54,0.52,0.56,0.16,1.0,0,3,0,1,1,2,0.43,0.51,0.57,0.64,1.0,0.75,1.0,0.75,0.0,0.79,KO/TKO,3 Rnd (5-5-5),Jacob Montalvo,2017-05-13,"Dallas, Texas, USA",Featherweight Bout,Jason Knight,180.34,65.77,182.88,2,177.8,65.77,180.34,2,32,24,3,6,1,2,1,1,193,726,65,43,2,13,520
1013,Chase Sherman,Rashad Coulter,1,0,0.44,0.43,0.46,0.43,0.0,0.0,0,0,1,0,0,0,0.36,0.41,0.92,1.0,0.81,1.0,0.67,0.7,0.69,0.0,KO/TKO,3 Rnd (5-5-5),Jacob Montalvo,2017-05-13,"Dallas, Texas, USA",Heavyweight Bout,Chase Sherman,193.04,113.4,198.12,2,180.34,92.99,193.04,2,27,35,0,0,0,2,1,0,194,1348,65,43,4,13,181
1015,Jessica Aguilar,Cortney Casey,0,0,0.53,0.35,0.66,0.47,0.8,0.0,0,0,1,0,0,0,0.39,0.28,0.67,0.64,0.95,0.86,0.56,0.58,0.66,0.65,Decision - Unanimous,3 Rnd (5-5-5),Kerry Hatley,2017-05-13,"Dallas, Texas, USA",Women's Strawweight Bout,Cortney Casey,160.02,52.16,160.02,2,170.18,52.16,170.18,2,35,30,2,0,3,1,3,1,562,332,96,43,110,13,229
1017,Joachim Christensen,Gadzhimurad Antigulov,0,0,0.33,0.5,0.33,0.58,0.0,1.0,0,1,0,1,0,0,0.33,0.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Submission,3 Rnd (5-5-5),Don Turnage,2017-05-13,"Dallas, Texas, USA",Light Heavyweight Bout,Gadzhimurad Antigulov,190.5,92.99,193.04,2,180.34,92.99,177.8,2,38,30,1,1,0,1,4,1,576,573,42,43,5,13,401
1018,Cub Swanson,Artem Lobov,0,0,0.7,0.44,0.73,0.46,0.66,0.25,0,0,4,0,0,0,0.6,0.39,0.85,0.49,0.94,0.75,0.76,0.33,0.9,1.0,Decision - Unanimous,5 Rnd (5-5-5-5-5),Herb Dean,2017-04-22,"Nashville, Tennessee, USA",Featherweight Bout,Cub Swanson,172.72,65.77,177.8,2,175.26,65.77,165.1,4,33,30,2,9,2,3,3,0,251,137,63,94,2,15,235
1019,Al Iaquinta,Diego Sanchez,2,0,0.63,0.26,0.63,0.27,0.0,0.0,0,0,0,0,0,0,0.6,0.15,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,KO/TKO,3 Rnd (5-5-5),John McCarthy,2017-04-22,"Nashville, Tennessee, USA",Lightweight Bout,Al Iaquinta,177.8,70.31,177.8,2,177.8,77.11,182.88,4,29,35,16,7,9,2,1,0,15,449,85,94,6,13,16
1020,Ovince Saint Preux,Marcos Rogerio de Lima,0,0,0.51,0.37,0.6,0.38,0.5,0.0,1,0,1,0,0,0,0.47,0.25,0.67,0.33,0.67,0.5,1.0,0.0,0.73,0.0,Submission,3 Rnd (5-5-5),Dan Miragliotta,2017-04-22,"Nashville, Tennessee, USA",Light Heavyweight Bout,Ovince Saint Preux,190.5,92.99,203.2,4,185.42,114.76,190.5,2,34,31,4,7,2,5,4,0,963,1086,31,94,5,13,926
1021,John Dodson,Eddie Wineland,0,0,0.46,0.15,0.47,0.15,0.0,0.0,0,0,0,0,0,0,0.31,0.11,0.88,0.54,1.0,0.0,1.0,0.0,0.0,0.0,Decision - Unanimous,3 Rnd (5-5-5),Herb Dean,2017-04-22,"Nashville, Tennessee, USA",Bantamweight Bout,John Dodson,160.02,61.23,167.64,2,170.18,61.23,175.26,2,32,32,5,7,5,3,3,0,598,494,63,94,0,13,574
1022,Joe Lauzon,Stevie Ray,0,0,0.6,0.55,0.67,0.59,0.71,0.0,1,1,5,0,0,0,0.58,0.53,1.0,0.88,0.0,1.0,0.25,0.62,0.86,0.89,Decision - Majority,3 Rnd (5-5-5),Dan Miragliotta,2017-04-22,"Nashville, Tennessee, USA",Lightweight Bout,Stevie Ray,177.8,70.31,180.34,2,177.8,70.31,177.8,4,32,27,4,14,1,9,7,1,587,1567,31,94,6,13,1131
1023,Jake Ellenberger,Mike Perry,0,2,0.41,0.47,0.45,0.49,0.25,0.0,0,0,0,0,0,0,0.37,0.31,0.67,0.4,0.0,0.92,0.67,0.67,0.0,0.0,KO/TKO,3 Rnd (5-5-5),Josh Ward,2017-04-22,"Nashville, Tennessee, USA",Welterweight Bout,Mike Perry,175.26,77.11,180.34,2,177.8,77.11,180.34,2,32,25,2,10,1,8,1,1,505,1188,94,94,106,13,858
1024,Thales Leites,Sam Alvey,0,0,0.55,0.3,0.59,0.45,0.14,0.0,0,0,0,0,0,0,0.24,0.27,0.86,0.83,0.89,0.0,0.5,0.88,0.0,0.0,Decision - Unanimous,3 Rnd (5-5-5),John McCarthy,2017-04-22,"Nashville, Tennessee, USA",Middleweight Bout,Thales Leites,185.42,83.91,198.12,2,187.96,92.99,190.5,4,35,30,7,11,3,6,3,0,1200,1470,85,94,7,13,1155
1025,Dustin Ortiz,Brandon Moreno,0,1,0.26,0.32,0.41,0.4,0.4,0.0,0,2,0,2,1,1,0.07,0.23,0.4,0.71,0.79,0.83,0.5,0.83,1.0,0.54,Submission,3 Rnd (5-5-5),Dan Miragliotta,2017-04-22,"Nashville, Tennessee, USA",Flyweight Bout,Brandon Moreno,165.1,56.7,165.1,2,170.18,56.7,177.8,2,28,23,2,5,0,4,4,1,351,193,31,94,3,13,131
1026,Scott Holtzman,Michael McBride,1,0,0.54,0.48,0.55,0.59,0.5,0.5,0,2,1,1,2,1,0.51,0.39,0.36,0.66,0.81,0.88,0.67,0.38,0.63,0.47,Decision - Unanimous,3 Rnd (5-5-5),Herb Dean,2017-04-22,"Nashville, Tennessee, USA",Lightweight Bout,Scott Holtzman,175.26,70.31,175.26,2,185.42,70.31,190.5,2,33,31,0,2,1,2,3,0,1123,1163,63,94,6,13,1079
1028,Alexis Davis,Cindy Dandois,0,0,0.41,0.32,0.6,0.47,0.0,0.55,2,0,2,0,1,0,0.24,0.27,0.81,0.75,0.93,0.54,1.0,0.44,0.7,0.79,Decision - Unanimous,3 Rnd (5-5-5),Herb Dean,2017-04-22,"Nashville, Tennessee, USA",Women's Bantamweight Bout,Alexis Davis,167.64,56.7,172.72,2,170.18,61.23,172.72,2,32,32,0,4,0,2,3,0,48,305,63,94,107,13,47
1029,Bryan Barberena,Joe Proctor,1,0,0.62,0.34,0.62,0.35,0.0,0.0,0,0,0,0,0,0,0.61,0.25,1.0,0.4,0.62,1.0,0.67,0.0,0.86,0.0,KO/TKO,3 Rnd (5-5-5),Dan Miragliotta,2017-04-22,"Nashville, Tennessee, USA",Welterweight Bout,Bryan Barberena,182.88,77.11,182.88,4,177.8,70.31,182.88,2,27,31,4,3,3,2,1,0,160,804,31,94,106,13,148
1030,Hector Sandoval,Matt Schnell,0,0,0.64,0.4,0.74,0.52,0.37,1.0,0,1,0,2,0,0,0.59,0.28,0.86,0.67,0.67,0.8,0.68,0.67,0.83,0.0,KO/TKO,3 Rnd (5-5-5),Josh Ward,2017-04-22,"Nashville, Tennessee, USA",Flyweight Bout,Hector Sandoval,157.48,56.7,162.56,2,172.72,61.23,177.8,2,30,27,0,1,1,1,1,0,464,1140,94,94,3,13,451
1031,Demetrious Johnson,Wilson Reis,0,0,0.58,0.09,0.62,0.11,0.5,0.0,1,0,3,0,0,0,0.53,0.01,0.8,0.14,0.92,0.8,0.5,0.0,0.82,0.0,Submission,5 Rnd (5-5-5-5-5),Dan Miragliotta,2017-04-15,"Kansas City, Missouri, USA",UFC Flyweight Title Bout,Demetrious Johnson,160.02,56.7,167.64,2,162.56,56.7,165.1,4,30,32,6,13,2,2,4,0,315,1715,31,69,31,15,296
1032,Rose Namajunas,Michelle Waterson,1,0,0.65,0.66,0.65,0.7,1.0,1.0,1,0,3,0,1,0,0.67,0.36,0.6,0.8,0.5,0.93,1.0,1.0,0.85,1.0,Submission,3 Rnd (5-5-5),Keith Peterson,2017-04-15,"Kansas City, Missouri, USA",Women's Strawweight Bout,Rose Namajunas,165.1,52.16,165.1,2,160.02,52.16,157.48,2,24,31,2,3,0,2,4,0,1082,1171,95,69,110,13,1043
1033,Jacare Souza,Robert Whittaker,0,1,0.25,0.5,0.33,0.51,0.33,0.0,0,0,1,0,0,0,0.19,0.48,0.6,0.58,0.0,1.0,0.75,0.25,0.0,0.67,KO/TKO,3 Rnd (5-5-5),Mario Yamasaki,2017-04-15,"Kansas City, Missouri, USA",Middleweight Bout,Robert Whittaker,185.42,83.91,182.88,2,182.88,83.91,185.42,2,37,26,8,7,2,1,1,1,499,1401,121,69,7,13,1023
1034,Jeremy Stephens,Renato Moicano,0,0,0.27,0.6,0.33,0.62,0.0,0.4,0,0,0,1,0,0,0.17,0.5,0.7,0.6,0.72,0.85,0.5,0.33,0.0,1.0,Decision - Split,3 Rnd (5-5-5),Mike England,2017-04-15,"Kansas City, Missouri, USA",Featherweight Bout,Renato Moicano,172.72,65.77,180.34,2,180.34,65.77,182.88,2,30,27,2,12,0,12,5,1,555,1359,133,69,2,13,993
1035,Alexander Volkov,Roy Nelson,0,0,0.67,0.47,0.68,0.53,0.0,0.12,0,0,0,2,0,0,0.58,0.35,0.85,1.0,1.0,0.83,0.68,0.86,0.0,0.5,Decision - Unanimous,3 Rnd (5-5-5),Dan Miragliotta,2017-04-15,"Kansas City, Missouri, USA",Heavyweight Bout,Alexander Volkov,200.66,113.4,203.2,2,182.88,119.29,182.88,2,28,40,9,1,9,0,3,0,44,1442,31,69,4,13,43
1036,Patrick Williams,Tom Duquesnoy,0,2,0.5,0.73,0.53,0.73,0.5,0.0,0,0,0,0,0,0,0.38,0.57,0.79,0.93,1.0,1.0,0.62,0.85,1.0,0.33,KO/TKO,3 Rnd (5-5-5),Keith Peterson,2017-04-15,"Kansas City, Missouri, USA",Bantamweight Bout,Tom Duquesnoy,172.72,61.23,185.42,2,170.18,61.23,172.72,2,35,23,0,1,0,1,1,1,977,1632,95,69,0,13,1178
1037,Bobby Green,Rashid Magomedov,0,0,0.52,0.39,0.59,0.44,0.0,0.0,0,0,0,0,0,0,0.2,0.31,0.82,0.68,0.87,0.5,0.79,0.62,0.0,1.0,Decision - Split,3 Rnd (5-5-5),Mario Yamasaki,2017-04-15,"Kansas City, Missouri, USA",Lightweight Bout,Rashid Magomedov,177.8,70.31,180.34,2,175.26,70.31,177.8,2,30,32,4,4,1,2,5,1,127,1350,121,69,6,13,988
1038,Louis Smolka,Tim Elliott,0,0,0.42,0.62,0.45,0.72,0.25,0.85,2,1,5,14,4,3,0.39,0.53,0.67,0.83,1.0,0.89,0.43,0.67,0.69,0.83,Decision - Unanimous,3 Rnd (5-5-5),Mike England,2017-04-15,"Kansas City, Missouri, USA",Flyweight Bout,Tim Elliott,175.26,61.23,172.72,2,170.18,61.23,167.64,4,25,30,2,5,5,3,3,1,767,1614,133,69,3,13,1168
1039,Aljamain Sterling,Augusto Mendes,0,1,0.51,0.32,0.66,0.52,0.33,0.0,0,0,0,0,0,1,0.31,0.22,0.84,0.64,0.56,1.0,0.83,1.0,0.62,0.67,Decision - Unanimous,3 Rnd (5-5-5),Mario Yamasaki,2017-04-15,"Kansas City, Missouri, USA",Bantamweight Bout,Aljamain Sterling,170.18,61.23,180.34,2,167.64,61.23,165.1,2,27,34,1,4,1,2,3,0,52,144,121,69,0,13,50
1040,Devin Clark,Jake Collier,0,0,0.64,0.5,0.77,0.57,0.57,0.0,0,1,6,0,0,0,0.55,0.35,0.89,0.73,0.9,0.89,0.73,0.71,0.93,1.0,Decision - Unanimous,3 Rnd (5-5-5),Dan Miragliotta,2017-04-15,"Kansas City, Missouri, USA",Light Heavyweight Bout,Devin Clark,182.88,92.99,190.5,2,190.5,92.99,198.12,2,27,28,2,1,2,1,3,0,324,683,31,69,5,13,305
1041,Anthony Smith,Andrew Sanchez,1,0,0.49,0.6,0.52,0.69,0.0,0.4,0,0,1,3,1,0,0.39,0.57,1.0,0.58,1.0,1.0,0.89,0.6,1.0,1.0,KO/TKO,3 Rnd (5-5-5),Keith Peterson,2017-04-15,"Kansas City, Missouri, USA",Middleweight Bout,Anthony Smith,193.04,92.99,193.04,2,185.42,83.91,187.96,2,28,29,2,2,0,2,1,0,86,98,95,69,7,13,81
1042,Zak Cummings,Nathan Coy,0,0,0.34,0.56,0.35,0.56,0.0,1.0,2,0,0,0,0,0,0.3,0.45,0.67,0.88,1.0,0.75,1.0,1.0,1.0,0.0,Submission,3 Rnd (5-5-5),Mike England,2017-04-15,"Kansas City, Missouri, USA",Welterweight Bout,Zak Cummings,182.88,83.91,190.5,4,177.8,77.11,175.26,4,32,38,1,5,1,2,4,0,1309,1235,133,69,106,13,1254
1043,Ashlee Evans-Smith,Ketlen Vieira,0,0,0.35,0.3,0.44,0.35,0.0,0.2,0,0,0,1,0,0,0.15,0.26,0.77,0.85,0.89,1.0,0.76,0.76,0.0,1.0,Decision - Unanimous,3 Rnd (5-5-5),Keith Peterson,2017-04-15,"Kansas City, Missouri, USA",Women's Bantamweight Bout,Ketlen Vieira,172.72,56.7,170.18,2,172.72,61.23,172.72,2,29,25,1,2,0,1,3,1,98,962,95,69,107,13,676
1044,Daniel Cormier,Anthony Johnson,0,0,0.87,0.61,0.88,0.61,0.5,0.33,1,0,1,0,0,0,0.85,0.33,1.0,0.8,1.0,1.0,0.95,0.91,1.0,0.0,Submission,5 Rnd (5-5-5-5-5),John McCarthy,2017-04-08,"Buffalo, New York, USA",UFC Light Heavyweight Title Bout,Daniel Cormier,180.34,106.59,182.88,2,187.96,92.99,198.12,2,38,33,13,7,5,1,4,0,277,111,85,31,40,15,259
1045,Chris Weidman,Gegard Mousasi,0,0,0.44,0.52,0.53,0.56,0.66,0.0,1,0,2,0,0,0,0.36,0.45,1.0,0.83,1.0,0.91,0.0,0.75,0.0,1.0,KO/TKO,3 Rnd (5-5-5),Dan Miragliotta,2017-04-08,"Buffalo, New York, USA",Middleweight Bout,Gegard Mousasi,187.96,83.91,198.12,2,187.96,83.91,193.04,2,32,31,8,9,3,2,1,1,213,582,31,31,7,13,409
1046,Cynthia Calvillo,Pearl Gonzalez,0,0,0.29,0.33,0.35,0.36,1.0,0.66,3,1,4,2,0,0,0.19,0.28,0.76,0.5,1.0,1.0,1.0,1.0,1.0,1.0,Submission,3 Rnd (5-5-5),Keith Peterson,2017-04-08,"Buffalo, New York, USA",Women's Strawweight Bout,Cynthia Calvillo,162.56,52.16,162.56,2,162.56,52.16,172.72,2,29,30,0,1,0,0,4,0,255,1308,95,31,110,13,240
1047,Thiago Alves,Patrick Cote,2,0,0.5,0.33,0.57,0.36,1.0,0.0,0,0,3,0,0,0,0.38,0.26,0.73,0.69,0.87,0.53,0.6,0.6,0.73,0.0,Decision - Unanimous,3 Rnd (5-5-5),Todd Ronald Anderson,2017-04-08,"Buffalo, New York, USA",Welterweight Bout,Thiago Alves,175.26,77.11,177.8,2,180.34,77.11,180.34,2,33,37,10,13,10,8,3,0,1201,1286,175,31,106,13,1156
1048,Will Brooks,Charles Oliveira,0,0,0.8,0.42,0.89,0.43,0.0,1.0,0,1,0,1,0,0,0.5,0.0,1.0,0.5,1.0,0.67,0.0,1.0,0.0,0.0,Submission,3 Rnd (5-5-5),John McCarthy,2017-04-08,"Buffalo, New York, USA",Lightweight Bout,Charles Oliveira,177.8,70.31,182.88,2,177.8,70.31,187.96,2,30,27,9,1,8,1,4,1,1281,261,85,31,6,13,177
1049,Myles Jury,Mike de la Torre,0,0,0.69,0.0,0.71,0.4,1.0,0.0,0,0,2,0,0,0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,KO/TKO,3 Rnd (5-5-5),Dan Miragliotta,2017-04-08,"Buffalo, New York, USA",Featherweight Bout,Myles Jury,177.8,65.77,185.42,2,180.34,65.77,180.34,2,28,30,2,6,4,2,1,0,918,1202,31,31,2,13,884
1050,Kamaru Usman,Sean Strickland,1,0,0.52,0.26,0.58,0.28,0.25,0.0,0,0,2,0,0,0,0.41,0.25,0.74,1.0,0.9,1.0,0.6,0.5,0.72,0.0,Decision - Unanimous,3 Rnd (5-5-5),Keith Peterson,2017-04-08,"Buffalo, New York, USA",Welterweight Bout,Kamaru Usman,182.88,77.11,193.04,3,185.42,77.11,193.04,2,29,26,5,4,1,0,3,0,688,1503,95,31,106,13,655
1051,Shane Burgos,Charles Rosa,1,0,0.46,0.32,0.52,0.33,0.0,0.14,0,0,0,0,0,0,0.41,0.24,0.57,0.27,0.82,0.69,0.75,0.2,1.0,0.0,KO/TKO,3 Rnd (5-5-5),Todd Ronald Anderson,2017-04-08,"Buffalo, New York, USA",Featherweight Bout,Shane Burgos,180.34,65.77,190.5,2,175.26,65.77,175.26,3,26,30,2,1,2,0,1,0,1143,262,175,31,2,13,1100
1052,Patrick Cummins,Jan Blachowicz,0,1,0.6,0.53,0.67,0.59,0.3,0.5,0,0,1,0,0,0,0.57,0.49,0.91,0.9,1.0,1.0,0.81,0.73,0.8,0.71,Decision - Unanimous,3 Rnd (5-5-5),John McCarthy,2017-04-08,"Buffalo, New York, USA",Light Heavyweight Bout,Patrick Cummins,187.96,92.99,193.04,2,187.96,92.99,198.12,2,36,34,2,4,3,4,3,0,974,707,85,31,5,13,935
1053,Gregor Gillespie,Andrew Holbrook,1,0,0.66,0.44,0.69,0.44,0.0,0.0,0,0,1,0,0,0,0.64,0.38,0.0,1.0,1.0,0.0,0.0,0.0,0.8,0.0,KO/TKO,3 Rnd (5-5-5),Dan Miragliotta,2017-04-08,"Buffalo, New York, USA",Lightweight Bout,Gregor Gillespie,170.18,70.31,180.34,2,180.34,70.31,177.8,4,30,31,2,1,1,0,1,0,453,97,31,31,6,13,438
1054,Josh Emmett,Desmond Green,0,0,0.28,0.45,0.3,0.49,0.0,0.5,0,0,0,0,0,0,0.13,0.45,0.5,0.4,0.78,0.67,0.0,0.0,0.0,1.0,Decision - Split,3 Rnd (5-5-5),Keith Peterson,2017-04-08,"Buffalo, New York, USA",Lightweight Bout,Desmond Green,167.64,65.77,177.8,2,177.8,70.31,185.42,4,32,27,0,2,0,0,5,1,644,442,95,31,6,13,304
1055,Katlyn Chookagian,Irene Aldana,0,0,0.38,0.37,0.39,0.38,0.0,0.0,0,0,0,0,0,0,0.25,0.28,0.53,0.64,0.84,0.7,0.5,0.5,0.0,0.0,Decision - Split,3 Rnd (5-5-5),Todd Ronald Anderson,2017-04-08,"Buffalo, New York, USA",Women's Bantamweight Bout,Katlyn Chookagian,175.26,56.7,172.72,2,175.26,61.23,172.72,2,28,29,0,1,1,1,5,0,694,664,175,31,107,13,660
1056,Jenel Lausa,Magomed Bibulatov,0,0,0.32,0.44,0.55,0.57,0.0,0.28,0,0,0,9,0,0,0.27,0.4,0.5,0.53,1.0,0.71,0.0,0.57,1.0,0.62,Decision - Unanimous,3 Rnd (5-5-5),John McCarthy,2017-04-08,"Buffalo, New York, USA",Flyweight Bout,Magomed Bibulatov,165.1,56.7,172.72,2,165.1,56.7,165.1,2,28,28,0,1,0,0,3,1,549,1063,85,31,3,13,755
1057,Jimi Manuwa,Corey Anderson,1,0,0.46,0.22,0.46,0.22,0.0,0.0,0,0,0,0,0,0,0.45,0.17,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,KO/TKO,3 Rnd (5-5-5),Leon Roberts,2017-03-18,"London, England, United Kingdom",Light Heavyweight Bout,Jimi Manuwa,185.42,92.99,200.66,2,190.5,92.99,200.66,2,37,27,6,5,2,2,1,0,572,330,109,77,5,13,551
1058,Gunnar Nelson,Alan Jouban,0,0,0.44,0.51,0.61,0.52,0.5,0.0,1,0,5,0,0,0,0.44,0.35,0.5,0.29,0.0,1.0,1.0,0.0,1.0,0.0,Submission,3 Rnd (5-5-5),Marc Goddard,2017-03-18,"London, England, United Kingdom",Welterweight Bout,Gunnar Nelson,180.34,77.11,182.88,3,182.88,77.11,185.42,4,28,35,6,6,2,2,4,0,455,22,115,77,106,13,440
1059,Brad Pickett,Marlon Vera,0,1,0.45,0.46,0.49,0.48,0.5,0.0,0,0,2,0,0,0,0.45,0.41,0.57,0.38,0.38,0.83,1.0,0.62,1.0,0.75,KO/TKO,3 Rnd (5-5-5),Grant Waterman,2017-03-18,"London, England, United Kingdom",Catch Weight Bout,Marlon Vera,167.64,61.23,172.72,2,172.72,61.23,177.8,3,38,24,2,5,2,8,1,1,136,1113,60,77,1,13,795
1060,Arnold Allen,Makwan Amirkhani,0,0,0.43,0.36,0.64,0.49,0.5,0.33,1,3,6,3,0,1,0.42,0.37,0.62,0.4,0.0,0.0,0.29,0.0,0.74,1.0,Decision - Split,3 Rnd (5-5-5),Neil Hall,2017-03-18,"London, England, United Kingdom",Featherweight Bout,Arnold Allen,172.72,65.77,177.8,4,177.8,65.77,182.88,4,23,28,3,2,0,0,5,0,96,1067,137,77,2,13,91
1061,Joe Duffy,Reza Madadi,0,0,0.31,0.44,0.35,0.48,0.0,0.16,0,0,2,0,1,0,0.27,0.4,0.64,0.78,0.75,0.25,1.0,0.83,0.88,1.0,Decision - Unanimous,3 Rnd (5-5-5),Marc Goddard,2017-03-18,"London, England, United Kingdom",Lightweight Bout,Joe Duffy,177.8,70.31,185.42,2,180.34,70.31,182.88,2,29,38,3,3,2,1,3,0,584,1366,115,77,6,13,561
1062,Darren Stewart,Francimar Barroso,0,0,0.42,0.45,0.54,0.56,0.2,0.58,0,0,0,0,0,0,0.28,0.31,0.78,0.8,0.65,0.86,0.7,0.56,0.33,0.33,Decision - Unanimous,3 Rnd (5-5-5),Leon Roberts,2017-03-18,"London, England, United Kingdom",Light Heavyweight Bout,Francimar Barroso,182.88,83.91,187.96,2,185.42,92.99,190.5,2,26,37,3,0,3,1,3,1,295,554,109,77,5,13,384
1063,Daniel Omielanczuk,Tim Johnson,0,0,0.58,0.5,0.69,0.61,0.0,0.2,0,0,0,1,0,0,0.41,0.4,0.9,0.67,0.91,0.76,0.86,0.74,0.0,0.71,Decision - Split,3 Rnd (5-5-5),Marc Goddard,2017-03-18,"London, England, United Kingdom",Heavyweight Bout,Tim Johnson,182.88,112.04,187.96,4,190.5,120.2,195.58,4,34,32,2,4,2,3,5,1,280,1617,115,77,4,13,1170
1064,Leon Edwards,Vicente Luque,0,0,0.51,0.54,0.57,0.69,0.25,0.28,0,0,1,3,0,0,0.47,0.43,0.71,0.78,0.75,0.8,0.67,1.0,0.25,1.0,Decision - Unanimous,3 Rnd (5-5-5),Grant Waterman,2017-03-18,"London, England, United Kingdom",Welterweight Bout,Leon Edwards,182.88,77.11,187.96,4,180.34,77.11,190.5,2,25,25,4,4,1,2,3,0,754,1677,60,77,106,13,717
1067,Lina Lansberg,Lucie Pudilova,0,0,0.55,0.48,0.59,0.59,0.14,0.0,0,0,0,0,0,0,0.44,0.44,0.74,0.8,0.92,1.0,0.73,0.86,1.0,1.0,Decision - Unanimous,3 Rnd (5-5-5),Neil Hall,2017-03-18,"London, England, United Kingdom",Women's Bantamweight Bout,Lina Lansberg,170.18,61.23,165.1,2,172.72,56.7,170.18,2,35,22,0,0,0,1,3,0,760,1037,137,77,107,13,724
1069,Mauricio Rua,Gian Villante,2,0,0.54,0.36,0.54,0.36,0.66,0.0,0,0,0,0,0,0,0.49,0.34,0.8,0.75,0.77,1.0,0.0,0.0,0.0,0.0,KO/TKO,3 Rnd (5-5-5),Mario Yamasaki,2017-03-11,"Fortaleza, Ceara, Brazil",Light Heavyweight Bout,Mauricio Rua,185.42,92.99,193.04,2,190.5,92.99,193.04,2,35,31,5,8,4,8,1,0,860,593,121,54,5,13,823
1070,Edson Barboza,Beneil Dariush,1,0,0.36,0.42,0.37,0.42,0.0,0.0,0,0,0,0,0,0,0.21,0.33,0.76,0.67,1.0,0.83,0.0,0.6,1.0,0.0,KO/TKO,3 Rnd (5-5-5),Osiris Maia,2017-03-11,"Fortaleza, Ceara, Brazil",Lightweight Bout,Edson Barboza,180.34,70.31,190.5,2,177.8,70.31,182.88,4,31,27,8,12,2,4,1,0,366,160,143,54,6,13,348
1071,Jussier Formiga,Ray Borg,0,0,0.48,0.4,0.57,0.5,0.0,0.0,0,0,1,1,0,1,0.32,0.32,0.89,0.71,0.89,0.67,0.88,0.67,0.0,0.88,Decision - Unanimous,3 Rnd (5-5-5),Mario Yamasaki,2017-03-11,"Fortaleza, Ceara, Brazil",Flyweight Bout,Ray Borg,165.1,56.7,170.18,2,162.56,61.23,160.02,2,31,23,4,5,2,3,3,1,668,1352,121,54,3,13,989
