,R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,Format,Referee,date,location,Fight_type,Winner,Red_Fighter_Height,Red_Fighter_Weight,Red_Fighter_Reach,Red_Fighter_Stance,Blue_Fighter_Height,Blue_Fighter_Weight,Blue_Fighter_Reach,Blue_Fighter_Stance,Red_Fighter_Age,Blue_Fighter_Age,Blue_wins,Red_wins,Blue_losses,Red_losses,win_by_,Win_Model,R_fighter_,B_fighter_,Referee_,location_,Fight_type_,Format_,Winner_Code
13,Alexander Gustafsson,Anthony Smith,0,0,0.47,0.47,0.48,0.48,0.33,0.0,0,1,1,1,0,0,0.33,0.31,0.38,0.58,0.75,0.83,0.0,0.0,0.67,1.0,Submission,5 Rnd (5-5-5-5-5),Marc Goddard,2019-06-01,"Stockholm, Sweden",Light Heavyweight Bout,Anthony Smith,195.58,92.99,200.66,2,193.04,92.99,193.04,2,32,30,7,10,4,5,4,1,41,118,115,140,5,15,81
14,Jimi Manuwa,Aleksandar Rakic,0,1,0.66,0.28,0.67,0.29,0.0,0.0,0,0,0,0,0,0,0.5,0.2,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,KO/TKO,3 Rnd (5-5-5),Kevin Sataki,2019-06-01,"Stockholm, Sweden",Light Heavyweight Bout,Aleksandar Rakic,185.42,92.99,200.66,2,193.04,92.99,198.12,2,39,27,3,6,0,5,1,1,572,31,101,140,5,13,24
15,Makwan Amirkhani,Chris Fishgold,0,0,0.33,0.3,0.5,0.31,0.5,0.0,1,0,2,0,0,0,0.29,0.13,0.33,0.6,0.67,0.53,0.0,0.0,0.75,0.0,Submission,3 Rnd (5-5-5),Marc Goddard,2019-06-01,"Stockholm, Sweden",Featherweight Bout,Makwan Amirkhani,177.8,65.77,182.88,4,172.72,65.77,172.72,2,30,26,1,4,1,1,4,0,797,280,115,140,2,13,759
16,Damir Hadzovic,Christos Giagos,0,0,0.39,0.41,0.48,0.48,1.0,0.46,0,0,0,3,0,0,0.42,0.31,0.25,0.75,1.0,1.0,0.83,0.6,0.5,0.25,Decision - Unanimous,3 Rnd (5-5-5),Rich Mitchell,2019-06-01,"Stockholm, Sweden",Lightweight Bout,Christos Giagos,175.26,70.31,177.8,2,177.8,70.31,180.34,2,32,29,2,3,3,2,3,1,265,303,152,140,6,13,205
17,Daniel Teymur,Sung Bin Jo,0,0,0.48,0.33,0.53,0.35,0.16,0.33,0,1,0,0,0,0,0.42,0.25,0.83,0.78,0.54,1.0,0.73,0.8,0.53,1.0,Decision - Unanimous,3 Rnd (5-5-5),Rebin Saber,2019-06-01,"Stockholm, Sweden",Featherweight Bout,Daniel Teymur,165.1,65.77,175.26,2,182.88,65.77,182.88,2,31,26,0,0,0,3,3,0,284,1570,151,140,2,13,266
18,Rostem Akman,Sergey Khandozhko,0,1,0.39,0.4,0.39,0.4,0.4,0.16,0,0,1,1,0,0,0.33,0.3,1.0,0.41,1.0,0.86,0.89,0.62,0.0,0.0,Decision - Unanimous,3 Rnd (5-5-5),Leon Roberts,2019-06-01,"Stockholm, Sweden",Welterweight Bout,Sergey Khandozhko,177.8,77.11,182.88,3,185.42,77.11,187.96,2,27,27,0,0,0,0,3,1,1085,1507,109,140,106,13,1093
19,Tonya Evinger,Lina Lansberg,0,0,0.54,0.73,0.82,0.83,0.25,0.5,0,0,2,2,0,1,0.29,0.73,1.0,0.83,0.0,0.0,1.0,0.7,1.0,0.78,Decision - Unanimous,3 Rnd (5-5-5),Kevin Sataki,2019-06-01,"Stockholm, Sweden",Women's Bantamweight Bout,Lina Lansberg,170.18,61.23,177.8,2,170.18,61.23,165.1,2,37,37,2,0,3,2,3,1,1234,1026,101,140,107,13,724
20,Stevie Ray,Leonardo Santos,0,1,0.18,0.75,0.18,0.75,0.0,0.0,0,0,0,0,0,0,0.0,0.8,0.0,0.67,1.0,1.0,0.0,0.0,0.0,0.0,KO/TKO,3 Rnd (5-5-5),Marc Goddard,2019-06-01,"Stockholm, Sweden",Lightweight Bout,Leonardo Santos,177.8,70.31,177.8,4,182.88,70.31,190.5,2,29,39,5,6,1,3,1,1,1173,1021,115,140,6,13,720
21,Nick Hein,Frank Camacho,0,0,0.46,0.49,0.52,0.5,0.33,0.0,0,0,0,0,0,0,0.38,0.45,0.44,0.64,1.0,0.67,1.0,0.7,0.0,0.0,KO/TKO,3 Rnd (5-5-5),Leon Roberts,2019-06-01,"Stockholm, Sweden",Lightweight Bout,Frank Camacho,167.64,70.31,167.64,4,177.8,77.11,185.42,2,35,30,1,4,2,3,1,1,937,560,109,140,6,13,390
23,Darko Stosic,Devin Clark,0,0,0.47,0.42,0.61,0.6,0.33,0.18,0,0,1,0,0,0,0.46,0.34,0.6,0.56,0.0,0.9,0.69,0.79,0.5,1.0,Decision - Unanimous,3 Rnd (5-5-5),Kevin Sataki,2019-06-01,"Stockholm, Sweden",Light Heavyweight Bout,Devin Clark,182.88,92.99,193.04,2,182.88,92.99,190.5,2,27,29,3,1,3,0,3,1,291,443,101,140,5,13,305
24,Joel Alvarez,Danilo Belluardo,0,0,0.46,0.65,0.77,0.82,0.0,1.0,0,0,1,2,1,0,0.5,0.56,0.25,0.0,0.4,1.0,1.0,0.0,0.76,0.71,KO/TKO,3 Rnd (5-5-5),Rebin Saber,2019-06-01,"Stockholm, Sweden",Lightweight Bout,Joel Alvarez,190.5,70.31,195.58,2,182.88,70.31,187.96,4,25,24,0,0,0,1,1,0,594,385,151,140,6,13,570
25,Rafael Dos Anjos,Kevin Lee,0,0,0.54,0.36,0.6,0.39,0.57,0.37,1,0,4,1,1,0,0.43,0.29,0.81,0.62,1.0,1.0,0.9,0.7,0.82,1.0,Submission,5 Rnd (5-5-5-5-5),Dan Miragliotta,2019-05-18,"Rochester, New York, USA",Welterweight Bout,Rafael Dos Anjos,172.72,77.11,177.8,4,175.26,77.11,195.58,2,34,26,10,17,4,9,4,0,1009,969,31,118,106,15,971
26,Antonio Carlos Junior,Ian Heinisch,0,0,0.45,0.58,0.58,0.69,0.36,1.0,0,0,4,5,1,0,0.37,0.54,0.5,0.4,1.0,0.79,1.0,0.71,0.67,0.72,Decision - Unanimous,3 Rnd (5-5-5),Todd Ronald Anderson,2019-05-18,"Rochester, New York, USA",Middleweight Bout,Ian Heinisch,187.96,83.91,200.66,2,180.34,83.91,182.88,2,29,30,1,6,0,3,3,1,91,653,175,118,7,13,465
27,Megan Anderson,Felicia Spencer,0,0,0.5,0.7,0.62,0.74,0.0,0.5,0,1,0,1,0,0,0.4,0.76,1.0,0.0,0.0,1.0,0.5,0.89,0.0,0.87,Submission,3 Rnd (5-5-5),Keith Peterson,2019-05-18,"Rochester, New York, USA",Women's Featherweight Bout,Felicia Spencer,182.88,65.77,182.88,2,167.64,65.77,172.72,2,29,28,0,1,0,1,4,1,866,544,95,118,108,13,379
28,Vicente Luque,Derrick Krantz,1,0,0.72,0.33,0.72,0.39,0.0,0.5,0,0,0,1,0,0,0.7,0.31,0.5,0.5,1.0,0.0,1.0,0.0,1.0,1.0,KO/TKO,3 Rnd (5-5-5),Dan Miragliotta,2019-05-18,"Rochester, New York, USA",Welterweight Bout,Vicente Luque,180.34,77.11,190.5,2,177.8,77.11,182.88,2,27,31,0,8,0,2,1,0,1259,439,31,118,106,13,1209
29,Charles Oliveira,Nik Lentz,1,0,0.64,0.36,0.67,0.4,0.0,0.5,1,0,3,1,1,0,0.61,0.28,0.68,0.56,1.0,0.75,0.59,0.75,1.0,1.0,KO/TKO,3 Rnd (5-5-5),Todd Ronald Anderson,2019-05-18,"Rochester, New York, USA",Lightweight Bout,Charles Oliveira,177.8,70.31,187.96,2,172.72,70.31,172.72,2,29,34,14,14,8,9,1,0,189,1257,175,118,6,13,177
30,Davi Ramos,Austin Hubbard,0,0,0.55,0.37,0.59,0.39,0.42,0.0,0,0,3,0,0,0,0.51,0.26,0.47,0.33,0.92,0.89,1.0,0.67,1.0,1.0,Decision - Unanimous,3 Rnd (5-5-5),Keith Peterson,2019-05-18,"Rochester, New York, USA",Lightweight Bout,Davi Ramos,167.64,70.31,177.8,2,177.8,70.31,180.34,2,32,27,0,3,0,1,3,0,303,147,95,118,6,13,284
32,Desmond Green,Charles Jourdain,0,0,0.54,0.37,0.56,0.38,1.0,0.0,0,0,1,0,0,0,0.47,0.14,0.88,0.48,0.88,0.79,1.0,0.33,0.71,0.0,Decision - Unanimous,3 Rnd (5-5-5),Dan Miragliotta,2019-05-18,"Rochester, New York, USA",Lightweight Bout,Desmond Green,177.8,70.31,185.42,4,175.26,70.31,175.26,3,29,23,0,3,0,3,3,0,323,259,31,118,6,13,304
33,Danny Roberts,Michel Pereira,0,1,0.5,0.54,0.5,0.55,0.0,0.0,0,0,0,0,0,0,0.0,0.44,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,KO/TKO,3 Rnd (5-5-5),Todd Ronald Anderson,2019-05-18,"Rochester, New York, USA",Welterweight Bout,Michel Pereira,185.42,77.11,187.96,4,185.42,77.11,185.42,2,31,25,0,5,0,3,1,1,290,1168,175,118,106,13,840
34,Michael Trizano,Grant Dawson,0,0,0.48,0.48,0.53,0.54,0.0,0.3,0,1,0,4,0,0,0.33,0.28,0.88,0.71,1.0,0.86,1.0,0.85,0.0,0.33,Submission,3 Rnd (5-5-5),Keith Peterson,2019-05-18,"Rochester, New York, USA",Featherweight Bout,Grant Dawson,180.34,70.31,180.34,2,177.8,65.77,182.88,3,27,25,1,2,0,0,4,1,875,607,95,118,2,13,434
35,Patrick Cummins,Ed Herman,0,1,0.66,0.31,0.67,0.37,0.5,0.0,0,0,0,0,0,0,0.68,0.32,0.0,0.0,1.0,0.0,1.0,0.25,0.0,0.67,KO/TKO,3 Rnd (5-5-5),Dan Miragliotta,2019-05-18,"Rochester, New York, USA",Light Heavyweight Bout,Ed Herman,187.96,92.99,193.04,2,185.42,92.99,195.58,2,38,38,10,6,11,6,1,1,974,488,31,118,5,13,341
36,Zak Cummings,Trevin Giles,1,0,0.34,0.48,0.38,0.52,0.0,0.0,1,0,0,0,0,0,0.15,0.43,0.69,0.58,0.76,1.0,0.75,0.67,0.0,0.0,Submission,3 Rnd (5-5-5),Todd Ronald Anderson,2019-05-18,"Rochester, New York, USA",Middleweight Bout,Zak Cummings,182.88,83.91,190.5,4,182.88,83.91,187.96,2,34,26,2,7,0,3,4,0,1309,1656,175,118,7,13,1254
37,Julio Arce,Julian Erosa,1,0,0.46,0.26,0.46,0.28,1.0,0.0,0,0,0,0,0,0,0.43,0.18,0.71,0.62,1.0,0.71,0.5,0.44,1.0,0.0,KO/TKO,3 Rnd (5-5-5),Keith Peterson,2019-05-18,"Rochester, New York, USA",Featherweight Bout,Julio Arce,170.18,65.77,177.8,4,185.42,65.77,187.96,4,29,29,1,2,3,1,1,0,661,899,95,118,2,13,632
38,Rose Namajunas,Jessica Andrade,1,0,0.44,0.44,0.44,0.46,0.0,0.5,1,0,1,0,0,0,0.44,0.25,1.0,0.65,0.0,0.95,1.0,0.83,0.67,1.0,KO/TKO,5 Rnd (5-5-5-5-5),Marc Goddard,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",UFC Women's Strawweight Title Bout,Jessica Andrade,165.1,52.16,165.1,2,154.94,52.16,157.48,2,26,27,10,6,4,2,1,1,1082,765,115,117,48,15,542
39,Jared Cannonier,Anderson Silva,1,0,0.54,0.53,0.56,0.53,0.0,0.0,0,0,0,0,0,0,0.31,0.17,0.67,0.75,0.83,0.8,0.75,1.0,0.0,0.0,KO/TKO,3 Rnd (5-5-5),Herb Dean,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Middleweight Bout,Jared Cannonier,180.34,83.91,195.58,3,187.96,83.91,195.58,4,35,44,17,4,6,4,1,0,526,85,63,117,7,13,509
40,Jose Aldo,Alexander Volkanovski,0,0,0.36,0.53,0.43,0.6,0.0,0.0,0,0,0,0,0,0,0.3,0.3,0.58,0.71,0.75,0.85,1.0,0.97,0.0,0.0,Decision - Unanimous,3 Rnd (5-5-5),Marc Goddard,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Featherweight Bout,Alexander Volkanovski,170.18,65.77,177.8,2,167.64,65.77,180.34,2,32,30,6,10,0,3,3,1,636,57,115,117,2,13,42
41,Thiago Alves,Laureano Staropoli,0,0,0.39,0.26,0.4,0.28,0.33,1.0,0,0,0,0,0,0,0.25,0.22,0.5,0.48,0.87,0.5,0.67,0.33,0.0,0.0,Decision - Unanimous,3 Rnd (5-5-5),Osiris Maia,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Welterweight Bout,Laureano Staropoli,175.26,77.11,177.8,2,185.42,77.11,180.34,2,35,26,1,15,0,10,3,1,1201,1006,143,117,106,13,708
42,Irene Aldana,Bethe Correia,0,0,0.33,0.41,0.34,0.41,0.0,0.0,1,0,1,0,0,0,0.3,0.3,0.65,0.56,0.83,0.87,1.0,1.0,0.0,0.0,Submission,3 Rnd (5-5-5),Eduardo Herdy,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Women's Bantamweight Bout,Irene Aldana,175.26,61.23,172.72,2,165.1,61.23,162.56,2,31,35,4,2,4,2,4,0,489,166,45,117,107,13,473
43,Rogerio Nogueira,Ryan Spann,0,1,0.25,0.4,0.25,0.41,0.0,0.5,0,1,0,1,0,0,0.25,0.37,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,KO/TKO,3 Rnd (5-5-5),Herb Dean,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Light Heavyweight Bout,Ryan Spann,187.96,92.99,190.5,4,195.58,92.99,200.66,2,42,27,1,6,0,5,1,1,1067,1461,63,117,5,13,1060
44,Thiago Moises,Kurt Holobaugh,0,0,0.64,0.33,0.72,0.57,0.66,0.33,1,0,4,0,0,0,0.64,0.2,0.5,0.7,0.83,0.67,0.73,0.67,0.79,1.0,Decision - Unanimous,3 Rnd (5-5-5),Marc Goddard,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Lightweight Bout,Thiago Moises,175.26,70.31,177.8,2,180.34,70.31,177.8,2,24,32,0,0,3,1,3,0,1202,989,115,117,6,13,1157
45,Warlley Alves,Sergio Moraes,1,0,0.45,0.32,0.46,0.32,0.0,0.0,0,0,0,0,0,0,0.34,0.23,0.71,0.78,0.72,1.0,0.67,0.33,0.0,0.0,KO/TKO,3 Rnd (5-5-5),Osiris Maia,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Welterweight Bout,Warlley Alves,180.34,77.11,182.88,2,182.88,77.11,182.88,2,28,36,8,6,4,3,1,0,1276,1509,143,117,106,13,1226
